user_id,event_id,rating,interaction_type,timestamp
1,47,4.8,view,2024-05-09
1,32,3.9,view,2024-02-08
1,98,4.5,wishlist,2024-05-21
1,78,2.9,view,2024-12-07
1,44,4.7,purchase,2024-03-23
1,17,3.0,purchase,2024-02-01
1,48,4.1,purchase,2024-01-31
1,26,1.6,wishlist,2024-04-01
1,50,4.2,view,2024-04-12
1,100,4.4,purchase,2024-09-08
1,82,1.3,view,2024-08-08
1,93,3.8,view,2024-08-14
1,41,4.6,purchase,2024-02-07
1,49,3.6,view,2024-08-16
1,39,3.5,view,2024-11-30
1,34,4.5,wishlist,2024-12-06
1,55,4.1,purchase,2024-06-17
1,7,3.3,view,2024-09-20
1,45,4.6,view,2024-09-01
1,40,4.2,wishlist,2024-02-05
1,58,4.3,purchase,2024-12-18
1,31,4.7,view,2024zzz-10-17
1,94,4.3,wishlist,2024-06-19
1,30,2.7,view,2024-11-19
1,101,5.0,view,2024-07-06
1,80,2.3,wishlist,2024-02-11
1,18,3.1,view,2024-05-28
1,52,4.5,purchase,2024-01-21
1,103,5.0,view,2024-06-02
1,51,4.5,wishlist,2024-11-18
1,72,2.7,view,2024-11-19
1,91,4.2,purchase,2024-01-19
1,16,1.5,view,2024-10-30
1,95,3.9,purchase,2024-10-03
1,92,4.5,view,2024-08-18
1,59,4.9,purchase,2024-06-22
1,42,3.6,view,2024-01-22
1,68,2.0,purchase,2024-11-30
1,102,4.5,view,2024-12-13
1,74,3.2,view,2024-10-23
2,74,4.0,wishlist,2024-10-21
2,61,4.3,purchase,2024-04-19
2,2,4.6,view,2024-06-20
2,103,1.2,purchase,2024-07-31
2,9,3.8,purchase,2024-03-25
2,19,2.1,wishlist,2024-01-21
2,5,3.7,view,2024-11-19
2,96,2.5,view,2024-01-09
2,46,4.8,purchase,2024-01-04
2,12,3.8,purchase,2024-11-29
2,86,2.5,purchase,2024-12-21
2,3,4.7,view,2024-12-20
2,98,1.3,purchase,2024-05-18
2,10,4.3,view,2024-03-30
2,1,4.4,purchase,2024-04-02
2,35,2.8,view,2024-02-15
2,62,4.4,view,2024-06-27
3,30,2.8,view,2024-06-15
3,91,2.0,view,2024-06-15
3,4,3.8,purchase,2024-04-26
3,9,3.6,view,2024-04-12
3,7,4.1,purchase,2024-08-29
3,90,4.4,purchase,2024-08-11
3,40,1.4,wishlist,2024-08-20
3,8,3.8,purchase,2024-08-22
3,85,4.6,view,2024-05-18
3,94,1.5,purchase,2024-12-20
3,1,4.4,purchase,2024-02-26
3,80,4.8,view,2024-03-28
3,15,4.6,purchase,2024-05-31
3,35,2.5,view,2024-11-22
3,77,4.9,wishlist,2024-10-22
3,12,5.0,wishlist,2024-02-14
3,87,4.1,view,2024-04-20
3,86,4.4,wishlist,2024-05-22
3,89,3.5,view,2024-05-06
3,88,3.9,view,2024-04-23
3,36,3.2,view,2024-03-17
3,78,4.9,wishlist,2024-08-01
3,38,3.5,purchase,2024-08-28
4,63,4.6,view,2024-11-09
4,28,2.4,view,2024-12-16
4,101,1.2,wishlist,2024-01-29
4,64,4.3,wishlist,2024-07-05
4,17,3.2,purchase,2024-07-06
4,71,4.2,purchase,2024-07-06
4,67,3.8,view,2024-02-04
4,69,4.3,view,2024-03-11
4,31,3.5,purchase,2024-02-28
4,62,4.5,view,2024-10-24
4,77,3.2,view,2024-04-25
4,61,4.0,wishlist,2024-09-14
4,68,4.5,purchase,2024-02-02
4,75,4.1,view,2024-09-13
4,66,4.3,purchase,2024-12-29
4,74,4.3,wishlist,2024-05-29
4,46,2.1,purchase,2024-12-10
4,12,3.4,wishlist,2024-02-03
4,73,3.8,wishlist,2024-02-14
4,98,1.2,wishlist,2024-05-27
4,38,3.4,purchase,2024-03-25
4,65,3.9,view,2024-09-11
4,3,1.4,purchase,2024-11-17
4,72,3.5,view,2024-12-15
4,70,4.3,purchase,2024-06-26
5,87,4.8,view,2024-12-07
5,79,4.7,purchase,2024-02-29
5,92,3.6,purchase,2024-03-05
5,35,2.1,purchase,2024-04-15
5,103,4.3,purchase,2024-06-11
5,102,5.0,purchase,2024-08-17
5,44,2.3,purchase,2024-06-03
5,60,1.3,purchase,2024-09-12
5,49,2.9,wishlist,2024-06-12
5,104,3.7,wishlist,2024-10-06
5,51,3.4,purchase,2024-12-27
5,17,3.9,wishlist,2024-10-20
5,89,4.5,view,2024-08-14
5,81,4.0,purchase,2024-09-02
5,45,3.3,purchase,2024-10-09
5,96,3.7,purchase,2024-11-12
5,97,4.8,view,2024-02-17
5,30,4.0,view,2024-04-09
5,94,4.4,purchase,2024-05-22
5,20,3.8,purchase,2024-08-16
5,82,4.5,wishlist,2024-09-19
5,28,4.1,view,2024-11-04
5,69,2.5,wishlist,2024-12-07
6,43,2.8,view,2024-03-11
6,70,1.5,wishlist,2024-05-28
6,15,4.3,purchase,2024-06-03
6,82,4.8,purchase,2024-10-13
6,104,2.8,purchase,2024-01-02
6,14,3.7,purchase,2024-11-23
6,13,4.8,view,2024-11-30
6,81,4.5,purchase,2024-04-01
6,72,2.2,view,2024-05-05
6,84,3.5,view,2024-09-09
6,5,5.0,purchase,2024-07-04
6,90,4.4,view,2024-05-12
6,10,4.4,view,2024-12-21
6,1,4.7,purchase,2024-10-21
6,69,1.0,purchase,2024-10-24
6,86,3.6,purchase,2024-12-20
6,36,1.3,purchase,2024-05-19
6,83,4.0,view,2024-07-01
6,52,1.1,purchase,2024-11-23
6,12,4.9,view,2024-11-17
6,3,3.8,purchase,2024-03-26
7,38,3.5,wishlist,2024-04-23
7,90,3.7,view,2024-12-18
7,34,3.8,purchase,2024-03-07
7,9,5.0,view,2024-02-27
7,10,3.6,view,2024-08-08
7,31,3.6,purchase,2024-12-03
7,80,4.3,purchase,2024-03-01
7,26,3.3,purchase,2024-06-03
7,1,4.5,view,2024-03-04
7,39,4.9,purchase,2024-04-12
7,7,3.8,purchase,2024-02-16
7,83,3.7,view,2024-05-22
7,36,4.9,purchase,2024-03-23
7,25,3.1,view,2024-11-09
7,104,1.6,view,2024-02-20
7,63,3.0,view,2024-09-27
7,35,3.8,purchase,2024-05-24
7,40,3.8,view,2024-01-03
7,86,5.0,purchase,2024-04-19
7,33,4.9,wishlist,2024-08-31
7,22,1.9,view,2024-08-13
7,28,2.7,purchase,2024-06-30
7,14,5.0,view,2024-09-20
7,29,1.6,purchase,2024-06-09
7,105,1.3,purchase,2024-03-10
7,11,4.2,purchase,2024-05-27
7,30,2.4,purchase,2024-06-16
8,34,4.6,wishlist,2024-07-23
8,72,4.0,view,2024-07-26
8,23,3.5,view,2024-03-16
8,14,2.9,purchase,2024-05-08
8,44,4.2,purchase,2024-03-09
8,63,3.5,view,2024-02-04
8,67,4.2,purchase,2024-04-01
8,37,4.1,view,2024-03-19
8,73,4.0,view,2024-02-09
8,38,4.5,view,2024-09-09
8,91,3.0,purchase,2024-12-04
8,64,4.2,view,2024-10-04
8,87,1.9,wishlist,2024-10-06
8,62,3.5,view,2024-08-08
8,43,4.8,purchase,2024-08-18
8,69,4.0,purchase,2024-08-23
8,2,1.1,purchase,2024-12-03
8,78,3.2,purchase,2024-12-27
8,70,3.7,view,2024-06-08
8,65,4.6,view,2024-02-26
8,45,4.4,view,2024-10-10
8,40,4.5,view,2024-08-31
8,81,2.4,purchase,2024-01-29
8,93,2.0,view,2024-07-12
8,32,4.4,purchase,2024-05-25
9,41,4.5,view,2024-06-11
9,55,4.1,purchase,2024-10-20
9,34,3.6,view,2024-12-19
9,75,2.7,purchase,2024-09-14
9,8,3.0,view,2024-03-26
9,60,4.4,purchase,2024-08-11
9,105,1.5,view,2024-02-08
9,43,4.8,view,2024-05-27
9,59,3.9,purchase,2024-10-20
9,32,4.1,purchase,2024-02-17
9,76,2.8,view,2024-10-30
9,42,4.0,purchase,2024-09-28
9,31,4.2,purchase,2024-02-09
9,35,4.5,purchase,2024-06-02
9,44,4.1,view,2024-04-12
9,83,2.0,purchase,2024-09-20
9,49,4.2,view,2024-04-02
9,51,4.8,view,2024-09-21
